#,How easy was it to link your Apollo Amplified Account with the Apollo App?,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,Exclusive merch,Personalized merch,Other,When you first bought your scooter did you require any additional resources to begin riding that were not provided in your scooter box already? Which ones?,How would you rate the number of notifications you receive from the Apollo App?,What other type of notifications or updates would you like to receive from the Apollo App?,How could we improve the Apollo App onboarding experience?,Do you own any other scooter brands?,Other,What was your onboarding experience like with other scooter brands?,How old are you?,Which country are you located in?,Other,Where did you purchase your scooter?,What is the primary purpose of your scooting?,Other,Which Apollo Scooter models do you own?,Other,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
a8jgxhox12eprcyvala8jgt9qkdo9hmi,4,Accessories,,,,,,,,Tire pump with gauge!!,Just right,Safety tips,It was pretty good actually.  However my manual was NOT for the scooter I purchased and it made me feel uncomfortable.  Make sure you guys address this.  We pay a lot for your scooters and we want to have more attention to detail regarding the manuals.  It’s sort of a buzz kill.,I don't own any other scooter brands,,,45-54 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,04/09/2024 21:02,,04/09/2024 21:06,89edd92030,
spemvnii12qpjzkynwspemvgupmyeqer,0,Accessories,,,,Discounts on scooters,,,,Everything was included. We purchased the locks to protect our investment.,Just right,Seems good now.,"Seriously, it has been incredible as it is right now.",I don't own any other scooter brands,,,45-54 years old,USA,,Apollo Website,Leisure or recreation,,Apollo City,,completed,04/09/2024 17:18,,04/09/2024 17:22,4f38ac789f,
7awom7cywerk9a9ogzq1f7awom750zd3,0,,,Upgrade Kits,,,,,,No. I figured out the handlebars with a computer mount and light that fit on a computer mount and it came with a phone mount,I would like to get more notifications,N/a,Idk,I don't own any other scooter brands,,,35-44 years old,USA,,Amazon,Work,,Apollo City,,completed,04/09/2024 00:46,,04/09/2024 00:49,a7a69b15be,
r76f3ztvhcje30q2tvr76fpmicpnbkvn,7,Accessories,,Upgrade Kits,,,,,,None,Just right,Sales,Nothing,Niu,,Not as good as yalls...so easy to setup,35-44 years old,USA,,Best Buy,Leisure or recreation,,Apollo City,,completed,03/09/2024 23:52,,03/09/2024 23:54,085bc696e4,
szkhcr8jbuwxvmaszkht5jqer4dyc8w9,1,,,Upgrade Kits,,,,,,No right out the box,Just right,Battery power,Nothing,Gotrax,,Short rides,0-18 years old,USA,,Best Buy,School or educational purposes,,Apollo Go,,completed,03/09/2024 23:47,,03/09/2024 23:50,2f3b19f3b7,
enqm0lq2d02mq66c5ceenqm0lqpupcr5,6,Accessories,Discounts on Spare Parts,Upgrade Kits,,,,,,No,Just right,Charging Complete,Security lockout of scooter,I don't own any other scooter brands,,,45-54 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,03/09/2024 03:00,,03/09/2024 03:02,b45b40c272,
3wxaij1bad5aj3wxs0pjj1v6r87hkqqq,7,Accessories,,Upgrade Kits,,Discounts on scooters,,,,Just an air pump for the tires,Just right,Automatic ride recordings,Automatic ride recordings,Segway,,"Good,great for the wife and kids",35-44 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,02/09/2024 17:15,,02/09/2024 17:17,13cdaf37e0,
mbbkpinlu897wzhvdeimbbkpineale3x,1,Accessories,,Upgrade Kits,,Discounts on scooters,Exclusive merch,Personalized merch,,"Kickstand to prop scooter up, in order to test brakes and motors",Just right,Youre scooter moved on Park,No suggestions ATM,Gotrax,,Non existent,18-24 years old,USA,,Apollo Website,School or educational purposes,,Apollo Go,,completed,01/09/2024 23:43,,01/09/2024 23:45,517a98acb9,
o8rhocvug5xxog4a3o8rhoc5cup0o79z,1,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,,Exclusive merch,,,None,Just right,Upgrade information on the application,Horizontal look?,I don't own any other scooter brands,,,45-54 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Go,,completed,31/08/2024 02:35,,31/08/2024 02:37,4db19a0e11,
pyll0pas5tk6nqtpyll507zs9ou3bvys,7,,,Upgrade Kits,,,,,,No,Just right,None,Don’t know,I don't own any other scooter brands,,,45-54 years old,USA,,Apollo Website,Work,,Apollo City,,completed,29/08/2024 16:39,,29/08/2024 16:40,534fa0ba2f,
02lpylktdyjdfuavsa6002lpy1ruoq22,0,,,Upgrade Kits,,,,,,Everything that I needed to drive my scooter was already in the box.,I would like to get more notifications,"Upgrade kits, mach 3 tech, phantom 2.0","The Apollo app onboarding experience was great, very informative, and interesting",I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,Personal errands (e.g. appointment or groceries),,Apollo Pro,,completed,29/08/2024 15:27,,29/08/2024 15:32,3978cbe7dc,
oaqbt5l49rcnbekgwoaqbtthg8g6ogdd,4,Accessories,,,,,,,,No,Just right,No sure,Not sure,I don't own any other scooter brands,,,65 and older,,New,Apollo Certified Shop,Leisure or recreation,,Apollo Air,,completed,28/08/2024 09:05,,28/08/2024 09:09,4d2ff7a099,
ec4jhaz2n30hz9dec4jsji7yom25pxom,2,,,,Maintenance Kits,,,,,None,Just right,None,None,Niu,,The same,18-24 years old,USA,,Second Hand,Leisure or recreation,,Apollo Phantom,,completed,27/08/2024 00:36,,27/08/2024 00:38,fdef8452d2,
atnlw9dmflumtdhhvokratnlwxrfengv,0,Accessories,Discounts on Spare Parts,,,,,,,Gaep,There are too many notifications,Definitivamente,Fght,I don't own any other scooter brands,,,55-64 years old,Australia,,Apollo Certified Shop,Business or professional tasks (e.g. food delivery),,Apollo Phantom,,completed,25/08/2024 19:22,,25/08/2024 19:23,4534b71e7e,
fj8pptvq2w7visbqfj8pph5eq9vqmlwc,0,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,Exclusive merch,Personalized merch,,Ready to charge and ride right out of the box.,Just right,"Regen stats, state of charge",Not certain. The onboarding process was smooth and completed with ease.,I don't own any other scooter brands,,,55-64 years old,USA,,Apollo Website,Work,,Apollo City,,completed,25/08/2024 16:20,,25/08/2024 16:29,bac6c10a42,
j8prgs3fauvcdmtp96j8prgseke29g9v,0,,,Upgrade Kits,,,,,,No,Just right,Anything available,Its good,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,,Personal use,Apollo Pro,,completed,25/08/2024 16:10,,25/08/2024 16:13,3978cbe7dc,
wpj446bgh0ygayzmnhf4xiwpj4469s9z,1,Accessories,,,,Discounts on scooters,,,,No,Just right,"I believe on the navigation, the cursor that is you is underneath the highlighted path making it hard to see yourself on the map",None that come to mind currently,Unagi,,Unagi has a pretty simple setup. Think the only thing to put on was the handle bar and that's it. Course I understand that with Apollo there's more parts to it as it's built very durable.,25-34 years old,USA,,Apollo Website,Work,,Apollo City,,completed,24/08/2024 16:08,,24/08/2024 16:12,ecaf2440b1,
lkm319q4p0czlkm3lx80pvjnpuvvyqw9,7,,,Upgrade Kits,,Discounts on scooters,,,,None,Just right,I don’t know,Have a easier way to lock unlock scooter.,Segway,,Not as good as Apollo,35-44 years old,USA,,Apollo Website,Personal errands (e.g. appointment or groceries),,Apollo Go,,completed,23/08/2024 19:31,,23/08/2024 19:37,27b1c4a666,
2x7zsinzpd24w50h9o2x7zsire26k5h9,1,,,,Maintenance Kits,Discounts on scooters,,,,None,I would like to get more notifications,Maintenance tips,You don’t have to the app works flawlessly,I don't own any other scooter brands,,,0-18 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Go,,completed,23/08/2024 18:54,,23/08/2024 18:56,f32f43be28,
4kr43jn4fga7kzr48v4kr43jtuukl254,7,,,,,Discounts on scooters,,,,No,Just right,Diagnostic,Na,Segway,,,35-44 years old,USA,,Wholesaler,Leisure or recreation,,Apollo City,,completed,23/08/2024 08:08,,23/08/2024 08:11,5cfc494b87,
ag9cxxs3zzp5fsag9cy1gpkslazvxo80,4,,Discounts on Spare Parts,Upgrade Kits,,Discounts on scooters,,,,None,Just right,Miles ridden per charge,The app is pretty easy,I don't own any other scooter brands,,,35-44 years old,USA,,Apollo Website,Work,,Apollo Go,,completed,23/08/2024 04:50,,23/08/2024 04:54,93e1682e78,
atidktneejv4jas68atietwagaqjddam,5,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,,,,No,Just right,None. I subscribe to the newsletter,N/a,Segway,,Gotrax doesn’t have one. Segway’s was pretty good too,25-34 years old,USA,,Apollo Website,Work,,Apollo Pro,,completed,22/08/2024 19:34,,22/08/2024 19:36,105fbd254d,
s2tlvfc03rrt9exg3femc5ud1ws2tlvf,0,Accessories,,,,,,,,Jsjshs,Just right,7wuwhss,Uwushs,,Hxsjxj,Hahas,25-34 years old,,Zhzhshshs,Apollo Website,,Hsjwsjsjs,Apollo Go,,completed,22/08/2024 09:11,,22/08/2024 09:12,a9cd7f45b9,
gee79vyf7h4meo1v1b5tgee795k69aak,7,Accessories,,Upgrade Kits,Maintenance Kits,Discounts on scooters,,,,No,Just right,Any errors and tire pressure,GPS is pointing in the wrong direction,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,21/08/2024 16:21,,21/08/2024 16:22,232b61e76f,
7mvk4r0thjxkz7mvk4g8fj87d3gua4g8,4,,,,,,,,None,No,There are too many notifications,None,,Segway,,Great,35-44 years old,Canada,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,21/08/2024 00:34,,21/08/2024 00:36,c121476311,
066o3phq5sfngwx066omdflv4pav8dzt,0,Accessories,,,,,,,,I received help on the phone,I would like to get more notifications,Scooter gps,Key,,Not sure,Haven't ridden it.,45-54 years old,Canada,,Apollo Website,,"Leisure,personal  errands",Apollo Phantom,,completed,20/08/2024 20:15,,20/08/2024 20:27,1f46e77d0b,
szejfx5eg2z1ogud14l4szejjtmyrjki,7,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,,,,Nope,Just right,Any problems with the scooter and better GPS,GPS is funky. Doesnt point straight,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,19/08/2024 19:37,,19/08/2024 19:39,950b533d77,
mxmbvghhky432gipuv6vymxmbv0sg6ma,4,,Discounts on Spare Parts,,,,,,,Online videos.,Just right,None.,Fine for now.,I don't own any other scooter brands,,,45-54 years old,Canada,,Apollo Website,Leisure or recreation,,Apollo City,,completed,19/08/2024 12:20,,19/08/2024 12:22,2d5955a654,
60y6zipo16axgrikc5lg60y6zipoe0hr,7,,,,,Discounts on scooters,,,,Nothing really.,Just right,Maybe a pop up when you’re running low on power and the ability to customize it based on what percentage(s)  you’d like to be notified for.,Better tracking of short trips sometimes it says I flew straight over houses to get down the road.,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,,Everything that the range allows me to do.,Apollo City,,completed,19/08/2024 03:13,,19/08/2024 03:24,0637c1f428,
txjjiezd169nb9dtxjjxose517bh7knv,7,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,,,,,No,Just right,Tire pressure. Any problems with dcooter,Faster connection and less disconnection. Gps does not point straight. Lock doesn’t work,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,18/08/2024 22:43,,18/08/2024 22:46,3af959cec9,
haiw1721ce9j1vapsbhaiw17f29ys0mn,5,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,,,,No,Just right,None,It's fine,Unagi,,,35-44 years old,USA,,Amazon,Work,,Apollo Go,,completed,18/08/2024 20:43,,18/08/2024 20:44,ec3b7b3ac3,
f8ymsdyqiguglkv0ef8ymfu03t0iwlw6,6,Accessories,,,,,,,,Yes - more technical information would be welcome,Just right,Technical information,Explain how to lock the scooter. I still do not know how to set the password,I don't own any other scooter brands,,,55-64 years old,Australia,,Best Buy,Work,,Apollo City,,completed,16/08/2024 23:05,,16/08/2024 23:09,b1f4ee29af,
w78ho8pgkmrd6ni7vqw78hoa5kqud4zm,2,,,,,,Exclusive merch,,,A sturdier phone holder,Just right,None,It’s ok,I don't own any other scooter brands,,,55-64 years old,Australia,,Apollo Certified Shop,Leisure or recreation,,Apollo City,,completed,15/08/2024 23:34,,15/08/2024 23:37,c4ca61a41f,
zdqqyt0sfs0rsid1zuhzdqqyt0a6hbgk,1,,Discounts on Spare Parts,,,,,,,helmet,Just right,new accessories available,,Emove,,,45-54 years old,Canada,,Apollo Website,Personal errands (e.g. appointment or groceries),,Apollo Pro,,completed,15/08/2024 04:01,,15/08/2024 04:06,a7b39a051c,
8aple8mbt5fm0z8aplusnp5nh416veff,5,Accessories,,,Maintenance Kits,,,,,"A valve extender to air the tires. The hose extender, when connected, is in the Open position all the time, so it’s not effective. I bought a valve extender on Amazon for $4.99. It was a pack of 4.",Just right,"I’d like the app to integrate alerts that notify the user when the battery is fully charged, when the scooter is moved from a “P” (park) status, and when the user travels measurable units (like every mile).","One of the first steps should be merging the Amp account with the app account when the QR code is first scanned, or when the user downloads the app.",I don't own any other scooter brands,,,45-54 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,15/08/2024 00:22,,15/08/2024 00:37,559629fa3f,
7wuvuumkkuj4ry17wuvu00vj535dvwya,6,Accessories,,,,,Exclusive merch,,,Just a helmet,Just right,None,I’d like a reminder on customization of speed and brake settings,I don't own any other scooter brands,,,55-64 years old,USA,,Apollo Website,Personal errands (e.g. appointment or groceries),,Apollo Go,,completed,12/08/2024 23:12,,12/08/2024 23:14,8feb742256,
di8k7izlspgywd6t9l4nadi8k7ik6c7a,7,Accessories,,,,,,,,Good,Just right,Deal,Manque de personnel,Segway,,,35-44 years old,Canada,,Apollo Website,Work,,Apollo Pro,,completed,12/08/2024 00:08,,12/08/2024 00:09,f24f797f46,
b9rfbksrtbbuggrm7a5y8yb9rfbkk7v8,0,Accessories,,,,,,,,No,There are too many notifications,None,Nothing obvious,I don't own any other scooter brands,,,55-64 years old,USA,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,11/08/2024 06:59,,11/08/2024 07:03,03aef80808,
onk66r0qncmkfkc94tonk67lmonp1kan,2,Accessories,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,Discounts on scooters,,,,No,Just right,None so far,"It would be nice to be able to adjust how long the turn signal lasts. In addition, the percentage of available power and consumption does not seem to be accurate during rides with it consistently in flux",I don't own any other scooter brands,,,45-54 years old,USA,,Apollo Website,Work,,Apollo City,,completed,10/08/2024 22:46,,10/08/2024 22:51,d8c128fe2f,
jrobbvwz5e89bvhjrobb8gbseod7vkqe,2,Accessories,Discounts on Spare Parts,,,,,,,On how to create an account for the Apollo app (not the website account). The UI seems incompatible with Samsung platform so borrowing from someone with an IOS platform was required.,Just right,Nothing else. Everything is fine the way it is.,Add an enable automatic "Park" feature for the scooter in case an unauthorized individual turns the scooter on.,Segway,,The onboarding experience was pretty straightforward and no issues setting up the apps there.,18-24 years old,USA,,Apollo Website,Work,,Apollo Go,,completed,10/08/2024 20:44,,10/08/2024 20:53,356ce97e7a,
ct08qog6d1jfic16xcrct08fiw5ok51e,5,,,,,,,,I won't,Yes the app to configure speeds. Default settings are awful.,There are too many notifications,How about no notifications.,Maybe have a way to change settings when the scooter is off?,I don't own any other scooter brands,,,35-44 years old,USA,,Best Buy,Work,,Apollo Go,,completed,10/08/2024 17:48,,10/08/2024 17:51,99470aa9e3,
nseprw3713bv58k2ssinseprw3i1wla0,0,Accessories,Discounts on Spare Parts,,,,Exclusive merch,,,Star screwdriver for the iOT installation,I would like to get more notifications,I would like to receive notifications when the scooter’s battery is fully charged.,,I don't own any other scooter brands,,,25-34 years old,Canada,,Apollo Website,Leisure or recreation,,Apollo Pro,,completed,10/08/2024 11:02,,10/08/2024 11:05,88c9ea39c8,
nd9trz2qlyh3iwl36ml3nd9tr94vh6v4,5,Accessories,Discounts on Spare Parts,,,,,Personalized merch,,missing Screws,Just right,stucf,on-screen pin code for turning off park,Gotrax,,"Gotrax was much simpler, which has pros and cons",25-34 years old,Canada,,Amazon,Work,,Apollo Go,,completed,09/08/2024 18:37,,09/08/2024 19:10,4291add8e2,
kcapi6nojd8u38ykcaas0uxdwa01btyw,0,Accessories,,,,,Exclusive merch,,,Star screwdriver for the small screws for the iOT,I would like to get more notifications,Notification when Apollo Pro battery is fully charged,,I don't own any other scooter brands,,,25-34 years old,Canada,,Apollo Website,Leisure or recreation,,Apollo Pro,,completed,09/08/2024 02:06,,09/08/2024 02:15,74c3c6e06b,
p6pusl4w2oyzfesp6pu2j5afcnpbnat3,5,Accessories,,Upgrade Kits,,,,,,No,Just right,None,NA,Segway,,,55-64 years old,Australia,,Apollo Certified Shop,Leisure or recreation,,Apollo Pro,,completed,08/08/2024 05:21,,08/08/2024 05:23,e26cf1d941,
5qegcrp6ip0qnu1uuep5qegcrf1qqv92,7,Accessories,,,,,,,,U tube,I would like to get more notifications,Updates,A way to check for firmware updates,I don't own any other scooter brands,,,45-54 years old,USA,,Best Buy,Work,,Apollo City,,completed,08/08/2024 03:48,,08/08/2024 03:50,cd548875c7,
4ntcct3p60fmguv4ntcc9ryy116pw4ek,0,Accessories,Discounts on Spare Parts,Upgrade Kits,,,Exclusive merch,,,N/A,Just right,N/A,,Fluid,,,35-44 years old,USA,,Apollo Website,Work,,Apollo City,,completed,06/08/2024 02:19,,06/08/2024 02:23,50bc643a0f,
ntbh1ki1hieo9fykwnkntbh1ako4gz6q,5,Accessories,,,,Discounts on scooters,Exclusive merch,,,I bought a motorcycle helmet and riding jacket. I also bought a side view mirror but it isn't very helpful.,Just right,Wishlist sale notifications. Double AMPs on holidays.,"The app catastrophically failed and the scooter was stuck in Park. I needed a pin number, which I had not yet set, luckily I was able to request a reset code.",I don't own any other scooter brands,,,35-44 years old,Canada,,Apollo Website,Work,,Apollo Phantom,,completed,05/08/2024 20:03,,05/08/2024 20:08,6a480fe31b,
rh76fibtf3az8il80rh76fignibaf36d,7,Accessories,,,,,,,,"Nope, very easy",There are too many notifications,Videos of people using the Phantom in various types of terrain,"I have the Phantom V4X  but my app when I logged in said welcome to your new V3, which it isn't needs to be updated",I don't own any other scooter brands,,,45-54 years old,Canada,,Apollo Website,Leisure or recreation,,Apollo Phantom,,completed,05/08/2024 18:29,,05/08/2024 18:33,df9f53b7b5,
scubdwj6e5xple66we45scubdis1ml0h,7,,Discounts on Spare Parts,,,,,,,No,Just right,More activating options for cruise control,It is solid,Segway,,"Minimal…. But they had less options, so less was needed.",35-44 years old,Canada,,Apollo Website,Work,,Apollo Phantom,,completed,05/08/2024 00:31,,05/08/2024 00:35,d3f9301f16,
a6chuilpx3wjqtshn95ra6chui8p4vlc,0,,,,,,,Personalized merch,,Who's the best scooter in the world?And I feel like the best company that's gonna be the next best thing,Just right,I want ludle mode on the city pro,There should be more app trading and scooter trading.How many da,Segway,,Segway has an onboard keyboard that you can enter the password without you. Opening the app that would be amazing or a n f c card,35-44 years old,USA,,Best Buy,Personal errands (e.g. appointment or groceries),,Apollo City,,completed,04/08/2024 19:20,,04/08/2024 19:22,edeaf03479,
t8s50veccwceh2pg529t8s50mncyw48p,7,,Discounts on Spare Parts,Upgrade Kits,Maintenance Kits,,,,,No,Just right,"Charge running low, traffic notifications",For me its pretty great,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,Personal errands (e.g. appointment or groceries),,Apollo City,,completed,31/07/2024 23:58,,01/08/2024 00:00,3b279fc6d8,
2op4xkhmcl0v15baqs1wp2op4xkhm8j4,6,Accessories,,Upgrade Kits,Maintenance Kits,,Exclusive merch,Personalized merch,,helmet,Just right,reminders for schedule or timed maintenance,"improve the map system use the Google maps bicycle layer , scooters in BC are required by law to ride on bike path network",I don't own any other scooter brands,,,35-44 years old,Canada,,Apollo Website,Leisure or recreation,,Apollo Pro,,completed,31/07/2024 01:58,,31/07/2024 02:02,9e3bea8981,
rf4484t32pple5p1vxvefc3rf4484tp7,7,,,Upgrade Kits,,,,,,Yes,Just right,Non,Non,Segway,,,45-54 years old,USA,,Best Buy,Leisure or recreation,,Apollo City,,completed,31/07/2024 00:20,,31/07/2024 00:22,8af2b8cbf3,
43t4sa3rirdmp3ra2aw43t4s76wil81v,2,Accessories,Discounts on Spare Parts,,Maintenance Kits,,,,,Some screws were missing,Just right,no preference,Felt good,Gotrax,,Gotrax just turned on and let me create pin and that's it. I wish Apollo had an on-scooter pin unlock feature too,25-34 years old,Canada,,Amazon,Work,,Apollo Go,,completed,30/07/2024 20:46,,30/07/2024 20:47,b475114835,
0567rkp5jiispdcglh0567rk9ec73yn3,4,Accessories,,Upgrade Kits,,,,,,Better air pump,Just right,More info on battery and temps,,Segway,,Not bad really like how segway g30 has built in charger which I wish was built in on my apollo since I commute and having charger in backpack takes lot of space,25-34 years old,USA,,Apollo Website,Work,,Apollo City,,completed,26/07/2024 23:24,,26/07/2024 23:30,1ab2e7b6ec,
0o53vp7blfrenhu0o53vpvims52xa50w,0,Accessories,Discounts on Spare Parts,Upgrade Kits,,,,,,Tire pressure meter,Just right,None,,I don't own any other scooter brands,,,35-44 years old,USA,,Apollo Website,Work,,Apollo Phantom,,completed,20/07/2024 02:31,,20/07/2024 02:33,d622179c61,
tbcjjwwm3cdi1mptbcj057lpk2jupa4t,5,Accessories,,,,,,,,Could not use all functions without having a phone and downloading the app,Just right,Scooter tracking,Have a way of unlocking scooter in case you do not have your phone with you,I don't own any other scooter brands,,,55-64 years old,Canada,,Apollo Website,Personal errands (e.g. appointment or groceries),,,Explore,completed,19/07/2024 22:30,,19/07/2024 22:35,ce79c1556e,
qp11xjcq2jnvcsg5yqp11xmtp1vbjunl,0,Accessories,Discounts on Spare Parts,Upgrade Kits,,,,,,Nope. Although I did later purchase a fast charger because of how much I ride.,Just right,I wish the range remaining calculator is a bit more accurate on the go. It says I'll get 36 but I end up getting closer to 21ish,If I already own an apollo scooter I shouldn't have to watch a how to video every time I get a new scooter.,Segway,,It was straight forward. Didn't have to watch a video every time.,18-24 years old,USA,,Apollo Website,Work,,Apollo Go,,completed,16/07/2024 11:27,,16/07/2024 11:29,13ed4389b6,
nld2r01jbmminlnld23caf91fje36x7r,0,Accessories,Discounts on Spare Parts,,,,Exclusive merch,,,All good,Just right,None,You did great,I don't own any other scooter brands,,,25-34 years old,USA,,Apollo Website,Work,,Apollo Go,,completed,15/07/2024 21:36,,15/07/2024 21:39,5d5334a2e1,
b1hh0zqc0p9cntmbb14hx2gcqn9922m4,0,Accessories,Discounts on Spare Parts,Upgrade Kits,,Discounts on scooters,,,,No,There are too many notifications,updates,allow charge to be seen via app when charging.,Segway,,Segway app is ok. Not as detailed but I do like that charge is shown in the app while charging.,45-54 years old,Canada,,Amazon,Work,,Apollo City,,completed,14/07/2024 21:44,,14/07/2024 21:47,d79c068068,
v6cy6lha0b5olv6c48iigg21bjk2h28f,0,Accessories,Discounts on Spare Parts,Upgrade Kits,,Discounts on scooters,,,,No,There are too many notifications,I would like the ability to see charging rate via the app.,Charge rate while charging. Different choices for speedometer colors styles on app ride screen.,Segway,,The abilty to update the scooter via the app. Not sure if this is on Apollo scooters as I am a new owner. The abilty to see the charge via the app while the scooter is turned off and charging. These would be nice additions. Aprt from that I like the apollo onboarding system better.,35-44 years old,Canada,,Wholesaler,Leisure or recreation,,Apollo City,,completed,14/07/2024 21:34,,14/07/2024 21:43,d79c068068,
